车系ID,品牌ID,车系名,指导价,车系展示图
3170,33,奥迪A3,18.49-28.10万,cxLogo\3170.jpg
692,33,奥迪A4L,29.98-43.00万,cxLogo\692.jpg
18,33,奥迪A6L,40.60-74.60万,cxLogo\18.jpg
2951,33,奥迪Q3,23.42-34.28万,cxLogo\2951.jpg
812,33,奥迪Q5,39.96-52.53万,cxLogo\812.jpg
19,33,奥迪A4,暂无,cxLogo\19.jpg
509,33,奥迪A6,暂无,cxLogo\509.jpg
650,33,奥迪A1,20.48-23.48万,cxLogo\650.jpg
370,33,奥迪A3(进口),36.98-36.98万,cxLogo\370.jpg
4325,33,奥迪A3(进口)新能源,39.98-39.98万,cxLogo\4325.jpg
2730,33,奥迪S3,39.98-39.98万,cxLogo\2730.jpg
471,33,奥迪A4(进口),42.38-46.88万,cxLogo\471.jpg
538,33,奥迪A5,39.80-64.28万,cxLogo\538.jpg
2734,33,奥迪S5,67.88-85.80万,cxLogo\2734.jpg
472,33,奥迪A6(进口),45.98-59.98万,cxLogo\472.jpg
2736,33,奥迪S6,99.98-99.98万,cxLogo\2736.jpg
740,33,奥迪A7,59.80-89.80万,cxLogo\740.jpg
2738,33,奥迪S7,135.80-135.80万,cxLogo\2738.jpg
146,33,奥迪A8,87.98-256.80万,cxLogo\146.jpg
2739,33,奥迪S8,198.80-198.80万,cxLogo\2739.jpg
593,33,奥迪Q5(进口),58.80-61.80万,cxLogo\593.jpg
2841,33,奥迪SQ5,66.80-66.80万,cxLogo\2841.jpg
412,33,奥迪Q7,75.38-104.88万,cxLogo\412.jpg
148,33,奥迪TT,51.98-58.68万,cxLogo\148.jpg
2740,33,奥迪TTS,65.88-69.88万,cxLogo\2740.jpg
511,33,奥迪R8,215.80-253.80万,cxLogo\511.jpg
2415,33,奥迪A2,暂无,cxLogo\2415.jpg
3276,33,奥迪S1,暂无,cxLogo\3276.jpg
926,33,奥迪e-tron,暂无,cxLogo\926.jpg
2732,33,奥迪S4,暂无,cxLogo\2732.jpg
3669,33,Prologue,暂无,cxLogo\3669.jpg
3350,33,allroad,暂无,cxLogo\3350.jpg
2908,33,Crosslane Coupe,暂无,cxLogo\2908.jpg
3287,33,奥迪Q2,暂无,cxLogo\3287.jpg
2264,33,奥迪Q3(进口),暂无,cxLogo\2264.jpg
3479,33,奥迪TT offroad,暂无,cxLogo\3479.jpg
3894,33,e-tron quattro,暂无,cxLogo\3894.jpg
4003,33,h-tron quattro,暂无,cxLogo\4003.jpg
4288,33,奥迪Q8,暂无,cxLogo\4288.jpg
3822,33,奥迪SQ7,暂无,cxLogo\3822.jpg
3210,33,Nanuk,暂无,cxLogo\3210.jpg
2218,33,quattro,暂无,cxLogo\2218.jpg
2832,33,奥迪R18,暂无,cxLogo\2832.jpg
2403,33,奥迪Urban,暂无,cxLogo\2403.jpg
3680,33,奥迪100,暂无,cxLogo\3680.jpg
787,33,奥迪Cross,暂无,cxLogo\787.jpg
2737,33,奥迪RS 6,159.80-159.80万,cxLogo\2737.jpg
2994,33,奥迪RS 7,169.88-189.80万,cxLogo\2994.jpg
2731,33,奥迪RS 3,暂无,cxLogo\2731.jpg
2733,33,奥迪RS 4,暂无,cxLogo\2733.jpg
2735,33,奥迪RS 5,暂无,cxLogo\2735.jpg
2760,33,奥迪RS Q3,暂无,cxLogo\2760.jpg
2741,33,奥迪TT RS,暂无,cxLogo\2741.jpg
923,35,Rapide,298.80-364.50万,cxLogo\923.jpg
884,35,拉共达Taraf,810.00-810.00万,cxLogo\884.jpg
385,35,V8 Vantage,198.80-218.80万,cxLogo\385.jpg
822,35,V12 Vantage,289.80-309.80万,cxLogo\822.jpg
266,35,阿斯顿·马丁DB9,341.80-388.80万,cxLogo\266.jpg
386,35,Vanquish,398.80-537.20万,cxLogo\386.jpg
3891,35,阿斯顿·马丁DB11,236.80-328.80万,cxLogo\3891.jpg
2075,35,Cygnet,暂无,cxLogo\2075.jpg
4159,35,Valkyrie,暂无,cxLogo\4159.jpg
2275,35,Virage,暂无,cxLogo\2275.jpg
3730,35,Vulcan,暂无,cxLogo\3730.jpg
3678,35,阿斯顿·马丁DB10,暂无,cxLogo\3678.jpg
3004,35,阿斯顿·马丁DB5,暂无,cxLogo\3004.jpg
3742,35,阿斯顿·马丁DBX,暂无,cxLogo\3742.jpg
2846,35,V12 Zagato,暂无,cxLogo\2846.jpg
582,35,阿斯顿·马丁DBS,暂无,cxLogo\582.jpg
729,35,阿斯顿·马丁One-77,暂无,cxLogo\729.jpg
2097,117,AC Schnitzer X5,110.00-110.00万,cxLogo\2097.jpg
2148,117,AC Schnitzer 7系,暂无,cxLogo\2148.jpg
2098,117,AC Schnitzer X6,暂无,cxLogo\2098.jpg
2745,221,宝斯通,28.80-35.00万,cxLogo\2745.jpg
3825,34,Giulia,33.08-102.80万,cxLogo\3825.jpg
4196,34,Stelvio,41.80-47.80万,cxLogo\4196.jpg
715,34,MiTo,暂无,cxLogo\715.jpg
1021,34,Giulietta,暂无,cxLogo\1021.jpg
2288,34,ALFA 4C,暂无,cxLogo\2288.jpg
2715,34,Disco Volante,暂无,cxLogo\2715.jpg
3030,34,Gloria,暂无,cxLogo\3030.jpg
399,34,ALFA 147,暂无,cxLogo\399.jpg
179,34,ALFA 156,暂无,cxLogo\179.jpg
778,34,ALFA 159,暂无,cxLogo\778.jpg
781,34,ALFA 8C,暂无,cxLogo\781.jpg
401,34,ALFA GT,暂无,cxLogo\401.jpg
4212,276,ALPINA B4,109.80-109.80万,cxLogo\4212.jpg
4034,251,Arash AF10,暂无,cxLogo\4034.jpg
4109,272,ARCFOX-1,暂无,cxLogo\4109.jpg
4106,272,ARCFOX-7,暂无,cxLogo\4106.jpg
4184,273,艾康尼克七系,暂无,cxLogo\4184.jpg
588,36,奔驰C级,31.28-48.90万,cxLogo\588.jpg
197,36,奔驰E级,42.28-62.98万,cxLogo\197.jpg
3248,36,奔驰GLA,26.98-39.90万,cxLogo\3248.jpg
3862,36,奔驰GLC,39.60-57.90万,cxLogo\3862.jpg
2562,36,奔驰GLK级,暂无,cxLogo\2562.jpg
3823,36,奔驰V级,48.90-64.60万,cxLogo\3823.jpg
2084,36,威霆,29.90-33.90万,cxLogo\2084.jpg
2564,36,凌特,37.60-49.90万,cxLogo\2564.jpg
2034,36,唯雅诺,暂无,cxLogo\2034.jpg
52,36,奔驰A级,23.60-36.00万,cxLogo\52.jpg
398,36,奔驰B级,24.20-36.80万,cxLogo\398.jpg
2966,36,奔驰CLA级,24.70-37.90万,cxLogo\2966.jpg
56,36,奔驰C级(进口),38.28-57.00万,cxLogo\56.jpg
450,36,奔驰E级(进口),55.80-85.30万,cxLogo\450.jpg
365,36,奔驰CLS级,69.80-98.80万,cxLogo\365.jpg
59,36,奔驰S级,93.80-199.80万,cxLogo\59.jpg
4344,36,奔驰S级新能源,175.80-175.80万,cxLogo\4344.jpg
3339,36,奔驰GLC(进口),49.60-63.80万,cxLogo\3339.jpg
3683,36,奔驰GLE,76.80-149.80万,cxLogo\3683.jpg
60,36,奔驰G级,132.90-179.80万,cxLogo\60.jpg
3688,36,奔驰GLS,107.60-159.80万,cxLogo\3688.jpg
469,36,奔驰R级,59.80-78.80万,cxLogo\469.jpg
3278,36,奔驰SLC,55.96-68.80万,cxLogo\3278.jpg
237,36,奔驰SL级,109.80-109.80万,cxLogo\237.jpg
4411,36,Concept A Sedan,暂无,cxLogo\4411.jpg
3918,36,Concept IAA,暂无,cxLogo\3918.jpg
2065,36,奔驰F800,暂无,cxLogo\2065.jpg
3700,36,奔驰F 015,暂无,cxLogo\3700.jpg
4213,36,Generation EQ,暂无,cxLogo\4213.jpg
3079,36,奔驰GLA(进口),暂无,cxLogo\3079.jpg
2950,36,Ener-G-Force,暂无,cxLogo\2950.jpg
3441,36,Coupe SUV,暂无,cxLogo\3441.jpg
2005,36,Sprinter,暂无,cxLogo\2005.jpg
3364,36,奔驰V级(进口),暂无,cxLogo\3364.jpg
192,36,威霆(进口),暂无,cxLogo\192.jpg
2762,36,奔驰CSC级,暂无,cxLogo\2762.jpg
2424,36,奔驰F125,暂无,cxLogo\2424.jpg
4195,36,Vision Van,暂无,cxLogo\4195.jpg
4231,36,奔驰X级,暂无,cxLogo\4231.jpg
595,36,奔驰GLK级(进口),暂无,cxLogo\595.jpg
57,36,奔驰M级,暂无,cxLogo\57.jpg
467,36,奔驰GL级,暂无,cxLogo\467.jpg
300,36,唯雅诺(进口),暂无,cxLogo\300.jpg
235,36,奔驰CLK级,暂无,cxLogo\235.jpg
683,36,奔驰CL级,暂无,cxLogo\683.jpg
267,36,奔驰SLK级,暂无,cxLogo\267.jpg
685,36,奔驰SLR级,暂无,cxLogo\685.jpg
2842,36,奔驰A级AMG,49.80-55.80万,cxLogo\2842.jpg
2967,36,奔驰CLA级AMG,59.90-63.20万,cxLogo\2967.jpg
2717,36,奔驰C级AMG,68.80-134.80万,cxLogo\2717.jpg
2719,36,奔驰CLS级AMG,177.80-186.80万,cxLogo\2719.jpg
2718,36,奔驰E级AMG,97.98-97.98万,cxLogo\2718.jpg
2197,36,奔驰S级AMG,247.80-299.80万,cxLogo\2197.jpg
3264,36,奔驰GLA AMG,57.90-63.40万,cxLogo\3264.jpg
4074,36,奔驰GLC AMG,69.80-80.50万,cxLogo\4074.jpg
3704,36,奔驰GLE AMG,103.80-198.80万,cxLogo\3704.jpg
2723,36,奔驰G级AMG,231.80-381.80万,cxLogo\2723.jpg
3901,36,奔驰GLS AMG,199.80-199.80万,cxLogo\3901.jpg
3451,36,AMG GT,141.80-228.80万,cxLogo\3451.jpg
4364,36,GT Concept,暂无,cxLogo\4364.jpg
2721,36,奔驰SLK级AMG,暂无,cxLogo\2721.jpg
2720,36,奔驰SL级AMG,暂无,cxLogo\2720.jpg
3246,36,Vision,暂无,cxLogo\3246.jpg
3985,36,奔驰SLC AMG,暂无,cxLogo\3985.jpg
2722,36,奔驰M级AMG,暂无,cxLogo\2722.jpg
2833,36,奔驰GL级AMG,暂无,cxLogo\2833.jpg
2724,36,奔驰CL级AMG,暂无,cxLogo\2724.jpg
914,36,奔驰SLS级AMG,暂无,cxLogo\914.jpg
3665,36,迈巴赫S级,146.80-288.80万,cxLogo\3665.jpg
4300,36,迈巴赫G级,暂无,cxLogo\4300.jpg
4183,36,Vision Mercedes-Maybach 6,暂无,cxLogo\4183.jpg
3104,14,杰德,12.99-17.99万,cxLogo\3104.jpg
135,14,思域,11.59-16.99万,cxLogo\135.jpg
3859,14,哥瑞,7.98-11.98万,cxLogo\3859.jpg
4179,14,竞瑞,8.99-12.79万,cxLogo\4179.jpg
859,14,思铂睿,17.99-26.79万,cxLogo\859.jpg
3582,14,本田XR-V,12.78-16.28万,cxLogo\3582.jpg
314,14,本田CR-V,16.98-25.98万,cxLogo\314.jpg
4304,14,本田UR-V,24.68-32.98万,cxLogo\4304.jpg
2565,14,艾力绅,24.98-30.98万,cxLogo\2565.jpg
2784,14,本田S,暂无,cxLogo\2784.jpg
81,14,飞度,7.38-11.28万,cxLogo\81.jpg
3876,14,锋范,7.98-11.98万,cxLogo\3876.jpg
3085,14,凌派,10.98-14.98万,cxLogo\3085.jpg
2168,14,歌诗图,25.98-33.58万,cxLogo\2168.jpg
78,14,雅阁,16.98-27.98万,cxLogo\78.jpg
3460,14,缤智,12.88-18.98万,cxLogo\3460.jpg
4102,14,冠道,22.00-32.98万,cxLogo\4102.jpg
880,14,奥德赛,22.98-35.48万,cxLogo\880.jpg
2786,14,本田C,暂无,cxLogo\2786.jpg
694,14,锋范经典,暂无,cxLogo\694.jpg
449,14,思迪,暂无,cxLogo\449.jpg
897,14,本田CR-Z,28.88-28.88万,cxLogo\897.jpg
723,14,INSIGHT,20.98-20.98万,cxLogo\723.jpg
4360,14,NeuV,暂无,cxLogo\4360.jpg
900,14,飞度(进口),暂无,cxLogo\900.jpg
3275,14,锋范(海外),暂无,cxLogo\3275.jpg
3266,14,CLARITY,暂无,cxLogo\3266.jpg
3478,14,CONCEPT B,暂无,cxLogo\3478.jpg
3705,14,杰德(海外),暂无,cxLogo\3705.jpg
896,14,思域(海外),暂无,cxLogo\896.jpg
2948,14,歌诗图(海外),暂无,cxLogo\2948.jpg
559,14,雅阁(海外),暂无,cxLogo\559.jpg
3257,14,VEZEL,暂无,cxLogo\3257.jpg
3605,14,本田HR-V,暂无,cxLogo\3605.jpg
2995,14,本田Urban,暂无,cxLogo\2995.jpg
3268,14,CONCEPT V,暂无,cxLogo\3268.jpg
918,14,本田CR-V(海外),暂无,cxLogo\918.jpg
810,14,Pilot,暂无,cxLogo\810.jpg
733,14,奥德赛(海外),暂无,cxLogo\733.jpg
2587,14,EV-Ster,暂无,cxLogo\2587.jpg
2700,14,本田NSX,暂无,cxLogo\2700.jpg
3232,14,本田S660,暂无,cxLogo\3232.jpg
2551,14,Ridgeline,暂无,cxLogo\2551.jpg
3692,14,本田FCV,暂无,cxLogo\3692.jpg
935,14,本田FCX,暂无,cxLogo\935.jpg
233,14,时韵,暂无,cxLogo\233.jpg
746,14,本田S2000,暂无,cxLogo\746.jpg
4171,15,宝马1系,20.48-31.98万,cxLogo\4171.jpg
3941,15,宝马2系旅行车,23.69-33.19万,cxLogo\3941.jpg
66,15,宝马3系,28.80-48.69万,cxLogo\66.jpg
65,15,宝马5系,44.99-66.39万,cxLogo\65.jpg
4350,15,宝马5系新能源,69.86-69.86万,cxLogo\4350.jpg
2561,15,宝马X1,28.60-43.90万,cxLogo\2561.jpg
4356,15,宝马X1新能源,39.88-39.88万,cxLogo\4356.jpg
2388,15,宝马i3,42.28-52.28万,cxLogo\2388.jpg
373,15,宝马1系(进口),25.60-46.90万,cxLogo\373.jpg
317,15,宝马3系(进口),39.96-68.40万,cxLogo\317.jpg
2963,15,宝马3系GT,39.80-51.90万,cxLogo\2963.jpg
2968,15,宝马4系,42.00-68.90万,cxLogo\2968.jpg
202,15,宝马5系(进口),46.58-72.70万,cxLogo\202.jpg
2847,15,宝马5系GT,70.10-168.80万,cxLogo\2847.jpg
270,15,宝马6系,95.20-188.20万,cxLogo\270.jpg
153,15,宝马7系,89.80-265.80万,cxLogo\153.jpg
4345,15,宝马7系新能源,112.80-115.80万,cxLogo\4345.jpg
271,15,宝马X3,42.10-75.00万,cxLogo\271.jpg
3053,15,宝马X4,53.00-77.40万,cxLogo\3053.jpg
159,15,宝马X5,75.80-172.80万,cxLogo\159.jpg
4348,15,宝马X5新能源,92.80-92.80万,cxLogo\4348.jpg
587,15,宝马X6,83.80-113.80万,cxLogo\587.jpg
3726,15,宝马2系多功能旅行车,28.99-32.99万,cxLogo\3726.jpg
3230,15,宝马2系,27.60-49.80万,cxLogo\3230.jpg
2387,15,宝马i8,198.80-198.80万,cxLogo\2387.jpg
161,15,宝马Z4,58.30-90.90万,cxLogo\161.jpg
3965,15,Compact Sedan,暂无,cxLogo\3965.jpg
3302,15,宝马2系旅行车(进口),暂无,cxLogo\3302.jpg
4067,15,VISION NEXT 100,暂无,cxLogo\4067.jpg
4472,15,宝马6系GT,暂无,cxLogo\4472.jpg
3471,15,Vision Future Luxury,暂无,cxLogo\3471.jpg
675,15,宝马X1(进口),暂无,cxLogo\675.jpg
3386,15,宝马X2,暂无,cxLogo\3386.jpg
4136,15,2002 Hommage,暂无,cxLogo\4136.jpg
3843,15,3.0 CSL Hommage,暂无,cxLogo\3843.jpg
3146,15,Gran Lusso,暂无,cxLogo\3146.jpg
3996,15,i Vision Future Interaction,暂无,cxLogo\3996.jpg
2831,15,Zagato Coupe,暂无,cxLogo\2831.jpg
3464,15,宝马8系,暂无,cxLogo\3464.jpg
2438,15,Isetta,暂无,cxLogo\2438.jpg
2897,15,Active Tourer,暂无,cxLogo\2897.jpg
2267,15,ConnectedDrive,暂无,cxLogo\2267.jpg
907,15,EfficientDynamics,暂无,cxLogo\907.jpg
2848,15,宝马GINA,暂无,cxLogo\2848.jpg
847,15,宝马Z8,暂无,cxLogo\847.jpg
2196,15,宝马M3,96.80-106.80万,cxLogo\2196.jpg
3189,15,宝马M4,92.70-199.00万,cxLogo\3189.jpg
2726,15,宝马M5,159.70-159.70万,cxLogo\2726.jpg
2727,15,宝马M6,198.80-198.80万,cxLogo\2727.jpg
2728,15,宝马X5 M,185.80-185.80万,cxLogo\2728.jpg
2729,15,宝马X6 M,192.80-192.80万,cxLogo\2729.jpg
3357,15,宝马M2,64.05-64.05万,cxLogo\3357.jpg
2725,15,宝马1系M,暂无,cxLogo\2725.jpg
2845,15,宝马M1,暂无,cxLogo\2845.jpg
4239,38,VELITE 5,26.58-29.58万,cxLogo\4239.jpg
3751,38,威朗,13.59-20.59万,cxLogo\3751.jpg
982,38,英朗,10.99-15.09万,cxLogo\982.jpg
164,38,君威,17.58-27.99万,cxLogo\164.jpg
834,38,君越,22.98-33.98万,cxLogo\834.jpg
2896,38,昂科拉,13.99-18.99万,cxLogo\2896.jpg
3554,38,昂科威,20.99-34.99万,cxLogo\3554.jpg
166,38,别克GL8,22.99-44.99万,cxLogo\166.jpg
875,38,凯越,暂无,cxLogo\875.jpg
525,38,林荫大道,暂无,cxLogo\525.jpg
344,38,荣御,暂无,cxLogo\344.jpg
592,38,昂科雷,50.90-64.90万,cxLogo\592.jpg
2511,38,VERANO(海外),暂无,cxLogo\2511.jpg
985,38,君威(海外),暂无,cxLogo\985.jpg
719,38,君越(海外),暂无,cxLogo\719.jpg
3708,38,Avenir,暂无,cxLogo\3708.jpg
2317,38,昂科威(海外),暂无,cxLogo\2317.jpg
4000,38,Avista,暂无,cxLogo\4000.jpg
3078,38,Riviera,暂无,cxLogo\3078.jpg
3707,38,别克Cascada,暂无,cxLogo\3707.jpg
3067,38,Roadmaster,暂无,cxLogo\3067.jpg
3076,38,Special,暂无,cxLogo\3076.jpg
4279,75,宋MAX,暂无,cxLogo\4279.jpg
579,75,比亚迪F0,3.79-4.79万,cxLogo\579.jpg
4073,75,比亚迪e5,19.59-21.59万,cxLogo\4073.jpg
407,75,比亚迪F3,4.39-7.79万,cxLogo\407.jpg
3283,75,比亚迪G5,7.59-10.29万,cxLogo\3283.jpg
2761,75,秦,18.59-25.59万,cxLogo\2761.jpg
2806,75,速锐,6.99-9.59万,cxLogo\2806.jpg
3781,75,元,5.99-10.99万,cxLogo\3781.jpg
3780,75,宋,7.99-14.99万,cxLogo\3780.jpg
4394,75,宋新能源,21.59-27.59万,cxLogo\4394.jpg
2088,75,比亚迪S6,7.99-12.39万,cxLogo\2088.jpg
3059,75,比亚迪S7,9.99-13.99万,cxLogo\3059.jpg
3430,75,唐,26.59-29.99万,cxLogo\3430.jpg
831,75,比亚迪e6,30.98-36.98万,cxLogo\831.jpg
798,75,比亚迪M6,10.39-15.39万,cxLogo\798.jpg
4393,75,王朝概念车,暂无,cxLogo\4393.jpg
3474,75,商,暂无,cxLogo\3474.jpg
417,75,福莱尔,暂无,cxLogo\417.jpg
940,75,比亚迪F3R,暂无,cxLogo\940.jpg
4333,75,比亚迪F3新能源,暂无,cxLogo\4333.jpg
927,75,比亚迪G3,暂无,cxLogo\927.jpg
997,75,比亚迪G3R,暂无,cxLogo\997.jpg
2085,75,比亚迪L3,暂无,cxLogo\2085.jpg
540,75,比亚迪F6,暂无,cxLogo\540.jpg
2091,75,比亚迪G6,暂无,cxLogo\2091.jpg
2944,75,思锐,暂无,cxLogo\2944.jpg
489,75,比亚迪S8,暂无,cxLogo\489.jpg
3993,120,宝骏E100,9.39-10.99万,cxLogo\3993.jpg
155,120,乐驰,3.98-4.98万,cxLogo\155.jpg
